,Recording timestamp,Gaze point X,Gaze point Y
1265,12772,807,419
1266,12782,812,420
1267,12792,812,422
1268,12802,811,425
1269,12812,815,426
1270,12822,819,427
1271,12832,821,429
1272,12842,822,431
1273,12852,824,434
1274,12862,825,436
1275,12872,824,436
1276,12882,823,437
1277,12892,823,438
1278,12902,824,439
1279,12912,824,439
1280,12922,822,440
1281,12932,821,442
1282,12942,820,445
1283,12952,820,445
1284,12962,820,448
1285,12972,820,451
1286,12982,819,453
1287,12992,818,454
1288,13002,818,458
1289,13012,817,460
1290,13022,818,460
1291,13032,818,460
1292,13042,816,459
1293,13052,816,458
1294,13062,816,457
1295,13072,814,457
1296,13082,812,458
1297,13092,810,458
1298,13102,807,457
1299,13112,806,456
1302,13142,809,449
1303,13152,807,448
1304,13162,806,445
1305,13172,806,441
1306,13182,805,437
1307,13192,807,436
1308,13202,808,434
1309,13212,810,428
1310,13222,813,423
1311,13232,816,420
1312,13242,819,417
1313,13252,821,415
1314,13262,823,413
1315,13272,825,412
1316,13282,827,413
1317,13292,829,412
1318,13302,830,412
1319,13312,831,415
1320,13322,832,418
1321,13332,833,420
1322,13342,833,422
1323,13352,834,424
1324,13362,835,427
1325,13372,835,429
1326,13382,836,431
1327,13392,834,432
1328,13402,833,433
1329,13412,832,433
1330,13422,832,433
1331,13432,831,432
1332,13442,831,432
1333,13452,830,433
1334,13462,829,432
1335,13472,829,432
1336,13482,828,433
1337,13492,829,432
1338,13502,829,432
1339,13512,829,432
1340,13522,830,432
1341,13532,830,432
1342,13542,829,430
1343,13552,828,429
1344,13562,828,429
1345,13572,828,427
1346,13582,826,425
1347,13592,826,424
1348,13602,826,423
1349,13612,825,422
1350,13622,823,423
1351,13632,822,425
1352,13642,822,428
1353,13652,821,429
1354,13662,819,432
1355,13672,818,432
1356,13682,816,428
1357,13692,815,425
1358,13702,814,426
1359,13712,815,427
1360,13722,816,424
1361,13732,816,419
1362,13742,817,415
1363,13752,819,411
1364,13762,822,407
1365,13772,824,404
1366,13782,826,403
1367,13792,828,406
1368,13802,829,406
1369,13812,829,405
1370,13822,830,406
1371,13832,831,409
1372,13842,833,413
1373,13852,833,417
1374,13862,834,421
1375,13872,834,423
1376,13882,834,425
1377,13892,834,425
1378,13902,834,425
1379,13912,834,426
1380,13922,834,428
1381,13932,834,427
1382,13942,834,423
1383,13952,832,416
1384,13962,832,416
1385,13972,831,417
1386,13982,829,415
1387,13992,828,411
1388,14002,829,412
1389,14012,828,418
1390,14022,826,418
1391,14032,823,415
1392,14042,821,416
1393,14052,819,417
1394,14062,817,418
1395,14072,816,419
1396,14082,816,420
1397,14092,813,424
1398,14102,811,426
1399,14112,810,426
1400,14122,810,424
1401,14132,807,423
1402,14142,806,424
1403,14152,805,428
1404,14162,803,433
1405,14172,800,432
1406,14182,797,431
1407,14192,795,431
1408,14202,792,430
1409,14211,789,427
1410,14221,786,425
1411,14231,785,424
1412,14241,785,423
1413,14251,783,418
1414,14261,783,418
1415,14271,785,424
1416,14281,785,423
1417,14291,785,420
1418,14301,786,419
1419,14311,788,419
1420,14321,790,417
1421,14331,792,413
1422,14341,795,415
1423,14351,799,422
1424,14361,800,420
1425,14371,800,409
1426,14381,802,410
1427,14391,805,416
1428,14401,806,418
1429,14411,808,418
1430,14421,809,417
1431,14431,810,419
1432,14441,810,420
1433,14451,811,419
1434,14461,812,420
1435,14471,812,422
1436,14481,813,423
1437,14491,814,426
1438,14501,814,426
1439,14511,812,426
1440,14521,812,426
1441,14531,811,425
1442,14541,810,425
1443,14551,809,423
1444,14561,810,424
1445,14571,811,431
1446,14581,810,434
1447,14591,810,434
1448,14601,812,433
1449,14611,812,435
1450,14621,811,434
1451,14631,811,431
1452,14641,811,431
1453,14651,811,435
1454,14661,810,434
1455,14671,809,432
1456,14681,809,431
1457,14691,808,430
1458,14701,806,432
1459,14711,805,432
1460,14721,805,430
1461,14731,804,428
1462,14741,802,427
1463,14751,801,424
1464,14761,801,425
1465,14771,801,426
1466,14781,801,425
1467,14791,801,424
1468,14801,801,423
1469,14811,801,421
1470,14821,803,423
1471,14831,807,431
1472,14841,808,430
1473,14851,807,425
1474,14861,808,424
1475,14871,811,424
1476,14881,815,424
1477,14891,817,425
1482,14941,822,426
1483,14951,823,427
1484,14961,826,428
1485,14971,828,428
1486,14981,830,429
1487,14991,831,430
1488,15001,833,432
1489,15011,834,432
1490,15021,834,432
1491,15031,835,431
1492,15041,836,432
1493,15051,835,432
1494,15061,834,432
1495,15071,834,431
1496,15081,835,431
1497,15091,837,430
1498,15101,838,428
1499,15111,840,427
1500,15121,841,426
1501,15131,842,423
1502,15141,845,424
1503,15151,848,429
1504,15161,850,429
1505,15171,854,424
1506,15181,859,420
1507,15191,861,421
1508,15201,862,421
1509,15211,864,418
1510,15221,867,412
1511,15231,870,413
1512,15241,872,413
1513,15251,874,411
1514,15261,876,408
1515,15271,878,408
1516,15281,880,410
1517,15291,880,410
1518,15301,881,412
1519,15311,882,416
1520,15321,883,417
1521,15331,881,418
1522,15341,881,418
1523,15351,881,419
1524,15361,882,422
1525,15371,881,423
1526,15381,881,421
1527,15391,880,418
1528,15401,879,414
1529,15411,879,412
1530,15421,880,414
1531,15431,880,417
1532,15441,881,418
1533,15451,881,419
1534,15461,881,416
1535,15471,881,414
1536,15481,881,415
1537,15491,883,416
1538,15501,885,417
1539,15511,886,420
1540,15521,887,416
1541,15531,889,410
1542,15541,890,409
1543,15551,889,410
1544,15561,889,409
1545,15571,888,409
1546,15581,888,409
1547,15591,886,414
1548,15601,884,416
1549,15611,883,416
1550,15621,880,419
1551,15631,877,422
1552,15641,875,422
